id,created_at,favorited,retweeted,user_name,user_id,mentions,hts,is_retweet,original_id,original_created_at,original_user_name,original_user_id,full_text,favorite_count,retweet_count
1233975511363342336,Sun Mar 01 04:41:02 +0000 2020,False,False,@IngloriousMadafacka🇦🇷,917890982649188352,ohsamaisalive,,True,1233965987315187713,Sun Mar 01 04:03:12 +0000 2020,GORILONA 💜,1011748417,"Argentinopla, día 82. Asesinatos sin freno, las soluciones no aparecen, la ministra de seguridad, ausente, sólo hace propaganda de Tecnópolis y un satélite, el presidente tuitea noticias fakes. Ni bolsillos con plata ni heladeras llenas #TucumanSeDesangra #Tucuman #ElPeorGobierno https://t.co/ScSy8KiPae",52,53
1233975388419821568,Sun Mar 01 04:40:33 +0000 2020,False,False,mfernanda olivieri b,149762941,TecnopolisArg miss_bolivia,NosotrasMovemosElMundo,True,1233931386760896512,Sun Mar 01 01:45:42 +0000 2020,Tecnópolis,299896959,🎶🙋‍♀🎤 Mañana 1º de marzo a las 22 h @miss_bolivia cierra la primera jornada de #NosotrasMovemosElMundo con un show en el Escenario Banderas de #Tecnópolis. ¡Vení a cantar con todes!  #ArgentinaUnida https://t.co/h7RbZuGdAR,53,14
1233975350767575040,Sun Mar 01 04:40:24 +0000 2020,False,False,mfernanda olivieri b,149762941,MinGenerosAR,NosotrasMovemosElMundo,True,1233939889873354753,Sun Mar 01 02:19:29 +0000 2020,"Ministerio de las Mujeres, Géneros y Diversidad",1207713682718969856,Empieza #NosotrasMovemosElMundo ¡Vení a ser parte de esta fiesta! https://t.co/kg2DkqMIjD,150,31
1233974874026184705,Sun Mar 01 04:38:30 +0000 2020,False,False,María Teresa Calvi,993733866,tamarakapitula SabinaFrederic,,True,1233603953570537474,Sat Feb 29 04:04:36 +0000 2020,Tamara Kap 🐱🖤,2620538902,"Te enteraste @SabinaFrederic ? Digo, porque después te leo hablar de satélites y de un Tecnópolis “reabierto” que jamás cerró https://t.co/ABDQ3xnwip",129,75
1233974751669997568,Sun Mar 01 04:38:01 +0000 2020,False,False,Maria Elena🇦🇷🏖️,4561084275,FelipePigna,,True,1233929478738411521,Sun Mar 01 01:38:07 +0000 2020,Felipe Pigna,79556841,Muchas gracias a toda la querida gente que nos acompañó esta noche en Tecnopolis https://t.co/jlseXT7OoF,430,46
1233974739267354624,Sun Mar 01 04:37:58 +0000 2020,False,False,Kristal,2849515650,TecnopolisArg,Tecnópolis,True,1233935966399860736,Sun Mar 01 02:03:54 +0000 2020,Tecnópolis,299896959,"El ciclo de Atardeceres en #Tecnópolis va llegando a su fin y nos deja un sabor a ternura y esperanza. Este domingo 1° de Marzo desde las 18 y hasta las 23, nace la campaña #NosotrasMovemosElMundo. ¡Te esperamos con los brazos abiertos!  #ArgentinaUnida https://t.co/AJimOwUKY4",89,34
1233972987751260160,Sun Mar 01 04:31:01 +0000 2020,False,False,Griselda,1097089105,TecnopolisArg,Tecnópolis,True,1233935966399860736,Sun Mar 01 02:03:54 +0000 2020,Tecnópolis,299896959,"El ciclo de Atardeceres en #Tecnópolis va llegando a su fin y nos deja un sabor a ternura y esperanza. Este domingo 1° de Marzo desde las 18 y hasta las 23, nace la campaña #NosotrasMovemosElMundo. ¡Te esperamos con los brazos abiertos!  #ArgentinaUnida https://t.co/AJimOwUKY4",89,34
1233972401303625733,Sun Mar 01 04:28:41 +0000 2020,False,False,rubia tarada,145932521,tamarakapitula SabinaFrederic,,True,1233603953570537474,Sat Feb 29 04:04:36 +0000 2020,Tamara Kap 🐱🖤,2620538902,"Te enteraste @SabinaFrederic ? Digo, porque después te leo hablar de satélites y de un Tecnópolis “reabierto” que jamás cerró https://t.co/ABDQ3xnwip",129,75
1233972390977208321,Sun Mar 01 04:28:38 +0000 2020,False,False,Gaby,2719035609,ohsamaisalive,,True,1233965987315187713,Sun Mar 01 04:03:12 +0000 2020,GORILONA 💜,1011748417,"Argentinopla, día 82. Asesinatos sin freno, las soluciones no aparecen, la ministra de seguridad, ausente, sólo hace propaganda de Tecnópolis y un satélite, el presidente tuitea noticias fakes. Ni bolsillos con plata ni heladeras llenas #TucumanSeDesangra #Tucuman #ElPeorGobierno https://t.co/ScSy8KiPae",52,53
1233972021526245376,Sun Mar 01 04:27:10 +0000 2020,False,False,carlos.exFRANKMONTA,1186355888153608192,ohsamaisalive,,True,1233965987315187713,Sun Mar 01 04:03:12 +0000 2020,GORILONA 💜,1011748417,"Argentinopla, día 82. Asesinatos sin freno, las soluciones no aparecen, la ministra de seguridad, ausente, sólo hace propaganda de Tecnópolis y un satélite, el presidente tuitea noticias fakes. Ni bolsillos con plata ni heladeras llenas #TucumanSeDesangra #Tucuman #ElPeorGobierno https://t.co/ScSy8KiPae",52,53
